Ticker,Market Cap,P/S,LTP,Book Value
RELCAPITAL.NS,539,0.03553035,21.65,-455.418
RELINFRA.NS,2490,0.14224981,90.05,350.078
REMSONSIND.NS,130,0.76557463,231.85,41.579
RICOAUTO.NS,650,0.37749162,49.45,44.078
RML.NS,527,0.41658458,393.35,124.947
ROHITFERRO.NS,66,0.122170046,4.5,-176.965
ROLTA.NS,97,0.07304491,6,-302.865
RPOWER.NS,3936,0.49619862,14.05,43.711
RPPINFRA.NS,182,0.35491338,86.85,121.126
RSWM.NS,726,0.3121517,320.35,336.234
RUCHIRA.NS,193,0.46583456,81.55,111.366
SABTN.NS,6,-23.991829,1.8,-13.604
SADBHAV.NS,877,0.39010724,52.5,86.257
SADBHIN.NS,626,0.5005912,17.4,8.178
SAGCEM.NS,662,0.44185033,275.95,433.966
SAIL.NS,47544,0.58922946,119.6,98.682
SAKHTISUG.NS,184,0.29178256,16.05,-22.597
SAKUMA.NS,267,0.20117992,11.65,15.927
SALSTEEL.NS,91,0.30423415,10.8,1.224
SALZERELEC.NS,252,0.37164468,160.4,207.83
SANGAMIND.NS,694,0.41780692,159.05,136.685
SARDAEN.NS,2556,0.95270866,726.9,616.12
SATHAISPAT.NS,17,0.6657101,3.5,-159.039
SATIN.NS,562,0.72694945,78.25,268.281
SDBL.NS,263,0.9087265,41.25,42.604
SELMCL.NS,0,0.00017693946,1.35,-104173.86
SGL.NS,37,0.5470891,13,-4.622
SHAHALLOYS.NS,34,0.06786059,16.35,-9.061
SHARONBIO.NS,3,0.022178581,3.3,-534.643
SHIRPUR-G.NS,14,0.003341605,4.95,32.641
SHIVAMAUTO.NS,222,0.45424157,23,11.325
SHREERAMA.NS,74,0.551484,11.95,4.093
SHREYANIND.NS,165,0.38864174,122.55,159.707
SICAGEN.NS,97,0.15753882,24.35,99.454
SICAL.NS,73,0.13369422,11.4,76.456
SIMBHALS.NS,112,0.088812344,28.25,-12.889
SIMPLEXINF.NS,267,0.12155666,46.95,262.117
SINTEX.NS,227,0.16049087,3.8,36.928
SKIPPER.NS,852,0.5391591,85.35,68.989
SKMEGGPROD.NS,223,0.8287443,83.1,43.661
SMPL.NS,15,0.78183866,0.5,-42.042
SPENTEX.NS,11,0.102992855,1.3,-99.772
SPIC.NS,1073,0.6309212,55.15,22.949
SPMLINFRA.NS,40,0.059765827,11.15,92.522
SPYL.NS,25,0.6245274,0.75,-2.974
SRHHYPOLTD.NS,569,0.72608566,348.55,208.347
SRIPIPES.NS,1016,0.5856404,225.95,318.507
SRSLTD.NS,4,0.036766797,0.15,-45.699
STARPAPER.NS,232,0.9968635,150.25,311.214
STINDIA.NS,13,0.27013943,2.85,-9.169
SUMEETINDS.NS,73,0.103666335,7.05,-7.399
SUNCLAYLTD.NS,6994,0.30085164,3490.75,1435.614
SUNDRMBRAK.NS,160,0.6771185,414.35,229.34
SUNFLAG.NS,1503,0.8575843,82,77.712
SUPERHOUSE.NS,194,0.36291936,170.85,329.689
SUPREMEINF.NS,47,0.24598229,18.55,-1210.245
SURYALAXMI.NS,100,0.16825803,60,139.317
SURYAROSNI.NS,4205,0.68623525,654.4,233.02
SUTLEJTEX.NS,1043,0.45809817,66.65,44.413
TAKE.NS,775,0.83921915,53.3,82.933
TALBROAUTO.NS,341,0.769032,280.4,200.482
TALWALKARS.NS,4,0.049702175,1.45,74.074
TANTIACONS.NS,19,0.14507882,6.8,85.253
TARMAT.NS,83,0.29118493,64.1,43.267
TATAMOTORS.NS,109876,0.43986803,311.65,175.341
TATAMTRDVR.NS,110471,0.44224945,157,175.341
TATASTEEL.NS,158650,0.8613368,1436.75,549.901
TBZ.NS,507,0.3485012,77.45,78.185
TCIFINANCE.NS,7,-0.60002327,5.7,-30.672
TECHNOFAB.NS,6,0.24771118,6.15,-60.331
TEXMOPIPES.NS,149,0.35342252,53.45,81.478
TEXRAIL.NS,894,0.5298132,35.9,45.273
THANGAMAYL.NS,1483,0.76376307,1118.9,193.052
THIRUSUGAR.NS,7,0.020003509,6.8,190.481
THOMASCOTT.NS,6,0.23022547,18,9.204
TIDEWATER.NS,672,0.5341104,1890.95,2166.885
TIJARIA.NS,17,0.27958393,6.2,4.612
TIL.NS,160,0.5129187,160.1,229.212
TIMETECHNO.NS,1676,0.5641332,72.15,79.747
TNPETRO.NS,1099,0.79241616,121.85,56.106
TNPL.NS,915,0.31522638,132,236.488
TRIGYN.NS,352,0.35784972,119.1,181.18
TRIL.NS,372,0.5018821,29.5,25.614
TRIVENI.NS,4309,0.9219354,178.3,58.771
TTL.NS,136,0.34623805,65.95,32.112
TVSSRICHAK.NS,1672,0.7500959,2165.5,1077.117
TWL.NS,1101,0.7246631,93.05,70.406
UCALFUEL.NS,337,0.4283462,156.3,141.274
UFLEX.NS,4044,0.41887736,545.9,707.511
UGARSUGAR.NS,308,0.32260135,28.3,7.161
UMANGDAIRY.NS,168,0.6806682,76.65,27.822
UNITECH.NS,484,0.2820156,1.85,17.628
UNITY.NS,11,0.046430044,0.85,-91.251
UNIVCABLES.NS,587,0.43376294,173.25,297.698
UTTAMSTL.NS,62,0.09518722,4.4,-262.062
UTTAMSUGAR.NS,712,0.3919526,192.1,88.647
V2RETAIL.NS,412,0.86278236,121.6,77.064
VARDMNPOLY.NS,52,0.10281251,23.85,-149.272
VETO.NS,199,0.99426275,106.15,94.809
VICEROY.NS,13,0.3448357,3.2,-96.868
VIDEOIND.NS,230,0.2533152,7.35,-327.232
VIKASECO.NS,85,0.7102433,2.1,4.528
VIMALOIL.NS,4,0.23460604,3.15,-430.794
VINDHYATEL.NS,1355,0.90235233,1184.8,2180.175
VISAKAIND.NS,1136,0.9388964,697.85,380.39
VISASTEEL.NS,120,0.10707861,10.7,-106.571
VIVIMEDLAB.NS,180,0.29424968,21.55,61.244
WABAG.NS,2182,0.77011496,344.2,241.173
WALCHANNAG.NS,207,0.6365687,56.95,61.692
WANBURY.NS,267,0.68167686,82,-62.112
WEIZMANIND.NS,83,0.9518784,48.6,32.307
WELCORP.NS,3173,0.59037465,123.9,129.823
WELENT.NS,1515,0.9905917,96.65,113.347
WHEELS.NS,1893,0.64718926,796.75,274.666
WINDMACHIN.NS,191,0.6093083,29.65,40.597
WINSOME.NS,1,0.030769017,0.15,-50.419
WSTCSTPAPR.NS,1575,0.63508713,236.95,198.738
XLENERGY.NS,0,0.38872123,0.25,-28.338
ZEEMEDIA.NS,528,0.87378454,11.4,8.33
ZENITHEXPO.NS,47,0.8470971,84.75,144.572
ZICOM.NS,6,0.2385766,1.6,-203.492
ZUARI.NS,481,0.20012033,116.8,46.651
ZUARIGLOB.NS,383,0.45968422,129.55,499.429
